"bodyid","post","pre","downstream","upstream","synweight","assignedOlHex1","assignedOlHex2","flywireType","group","name","somaSide","statusLabel","superclass","type","vfbId","hemibrainType","itoleeHl","supertype","birthtime","mancBodyid","mancGroup","mancType","subclass","synonyms","class","rootSide","somaNeuromere","trumanHl","dimorphism","matchingNotes","entryNerve","mancSerial","mcnsSerial","serialMotif","fruDsx","exitNerve","receptorType","somaLocation","tosomaLocation","status","totalNtPredictions","predictedNtConfidence","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","celltypePredictedNtConfidence","consensusNt","voxels","locationType","soma","role","superclass_export"
12621,4166,1608,9656,4166,13822,NA,NA,"DNg56",10033,"DNg56_L","L","Prelim Roughly traced","descending_neuron","DNg56","VFB_jrmc37yf",NA,"LB3","10033","early",16837,16837,"DNg56","xn",NA,NA,NA,"LB","03B_put1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50720,45546,35326","","Traced",1608,0.8798987865448,"gaba",3262,"gaba",0.880344450473785,"gaba",2809032439,NA,TRUE,"INTERNEURON","descending_neuron"
12623,4180,965,8152,4180,12332,NA,NA,"CB3716",10892,"PS278_L","L","Roughly traced","cb_intrinsic","PS278","VFB_jrmc1jye","PS278","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53603,20775,37918","","Traced",965,0.752006769180298,"glutamate",1926,"glutamate",0.729516267776489,"glutamate",2413118658,NA,TRUE,"INTERNEURON","cb_intrinsic"
12627,3468,420,3163,3468,6631,NA,NA,"AOTU015",12627,"AOTU015_L","L","Roughly traced","cb_intrinsic","AOTU015","VFB_jrmc3hjb","AOTU015","CREa2_ventral","10850",NA,NA,NA,NA,NA,"Cachero 2010: aSP-d; Yu 2010: aSP13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fru_low",NA,NA,"56938,18872,11560","","Traced",420,0.960856854915619,"acetylcholine",3839,"acetylcholine",0.959565997123718,"acetylcholine",769191607,NA,TRUE,"INTERNEURON","cb_intrinsic"
12628,17140,2312,14066,17140,31206,NA,NA,"DNpe042",10091,"DNpe042(CL262)_R","R","Roughly traced","descending_neuron","DNpe042","VFB_jrmc30uz","CL262","putative_primary",NA,"early",21069,21069,"DNlt011","lt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36385,23949,37264","","Traced",2312,0.950386166572571,"acetylcholine",4788,"acetylcholine",0.953446209430695,"acetylcholine",4184433006,NA,TRUE,"INTERNEURON","descending_neuron"
12638,10225,1794,13144,10225,23369,NA,NA,"LMa2",10933,"MeLo8_R","R","Roughly traced","ol_intrinsic","MeLo8","VFB_jrmc1twa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23188,22397,28046","","Traced",1794,0.86620706319809,"gaba",65846,"gaba",0.856358647346497,"gaba",2035167299,NA,TRUE,"INTERNEURON","ol_intrinsic"
12649,4035,1459,10166,4035,14201,NA,NA,"CL310",NA,"CL310_R","R","Prelim Roughly traced","cb_intrinsic","CL310","VFB_jrmc34nk","CL310","SMPpv2_ventral","10487",NA,NA,NA,NA,NA,NA,NA,NA,"CG","17A_put2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36560,19504,37292","","Traced",1459,0.963435649871826,"acetylcholine",2928,"acetylcholine",0.961810767650604,"acetylcholine",2037081235,NA,TRUE,"INTERNEURON","cb_intrinsic"
12650,3257,2520,19574,3257,22831,NA,NA,"PLP177",12650,"PLP177_R","R","Prelim Roughly traced","cb_intrinsic","PLP177","VFB_jrmc1j0m","PLP177","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36051,27538,38324","","Traced",2520,0.954749941825867,"acetylcholine",5492,"acetylcholine",0.953746557235718,"acetylcholine",1796147320,NA,TRUE,"INTERNEURON","cb_intrinsic"
12678,2595,562,4982,2595,7577,NA,NA,"LC31b,LC31c",11794,"LC31b_L","L","Prelim Roughly traced","visual_projection","LC31b","VFB_jrmc28a8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64414,33198,30640","","Traced",562,0.950546681880951,"acetylcholine",6507,"acetylcholine",0.951615571975708,"acetylcholine",1352740646,NA,TRUE,"INTERNEURON","visual_projection"
12686,4177,1582,10416,4177,14593,NA,NA,"cL10",12500,"LoVP96_R","R","Roughly traced","visual_centrifugal","LoVP96","VFB_jrmc208b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fw has a bigger axonic branch but not labeled as dimorphic as the mcns neurons look undertraced and the EM has small defect lines.",NA,NA,NA,NA,NA,NA,NA,"36208,36148,34612","","Traced",1582,0.812044501304626,"glutamate",3275,"glutamate",0.815474450588226,"glutamate",2024306074,NA,TRUE,"INTERNEURON","visual_centrifugal"
12687,1177,420,2536,1177,3713,NA,NA,"DNge113",12687,"DNge113_R","R","Prelim Roughly traced","descending_neuron","DNge113","VFB_jrmc30j8",NA,"LB7","12687",NA,44290,22710,"DNnt001","nt","Cachero 2010: aSG-a",NA,NA,"LB","07B",NA,"biological variability",NA,NA,NA,NA,"fru_low",NA,NA,"36878,41134,30153","","Traced",420,0.956230998039246,"acetylcholine",1682,"acetylcholine",0.952242493629456,"acetylcholine",1499746426,NA,TRUE,"INTERNEURON","descending_neuron"
